combi               	x    	y    	z    	fixed	2D   	3D   
[[139 141]]         	 3132	 2790	 1620	 5270	 5267	 5267	
[[139 143]]         	 3166	 2954	 1623	 5411	 5429	 5429	
[[139 145]]         	 3132	 2828	 1608	 5303	 5301	 5301	
[[141 143]]         	 3095	 2798	 1660	 5260	 5257	 5257	
[[141 145]]         	 3273	 2753	 1647	 5298	 5298	 5298	
[[143 145]]         	 3117	 2833	 1640	 5298	 5299	 5299	
[[139 141 143]]     	 3116	 2809	 1637	 5275	 5277	 5277	
[[139 141 145]]     	 3135	 2807	 1623	 5285	 5284	 5284	
[[139 143 145]]     	 3126	 2840	 1626	 5307	 5309	 5309	
[[141 143 145]]     	 3111	 2816	 1646	 5280	 5281	 5281	
[[139 141 143 145]] 	 3121	 2818	 1633	 5286	 5287	 5287	
