combi               	x    	y    	z    	fixed	2D   	3D   
[[139 141]]         	 1005	 2981	 1582	   30	   20	   71	
[[139 143]]         	  976	 2950	 1655	   32	   30	   31	
[[139 145]]         	  951	 2890	 1643	   88	   89	   89	
[[141 143]]         	  950	 3040	 1625	   92	   96	   99	
[[141 145]]         	  913	 2962	 1619	  116	   91	   96	
[[143 145]]         	  965	 2884	 1687	   81	   86	   94	
[[139 141 143]]     	  979	 2998	 1623	   42	   44	   52	
[[139 141 145]]     	  978	 2936	 1615	   35	   36	   50	
[[139 143 145]]     	  961	 2896	 1663	   78	   77	   78	
[[141 143 145]]     	  957	 2952	 1644	   49	   48	   49	
[[139 141 143 145]] 	  969	 2943	 1637	   40	   39	   42	
