combi               	x    	y    	z    	fixed	2D   	3D   
[[139 141]]         	 2003	 2560	    3	    3	    3	    4	
[[139 143]]         	 2001	 2558	    1	    2	    2	    2	
[[139 145]]         	 2002	 2561	    3	    1	    2	    3	
[[141 143]]         	 2001	 2558	    3	    2	    2	    3	
[[141 145]]         	 2004	 2560	    4	    3	    4	    5	
[[143 145]]         	 2000	 2560	    1	    0	    0	    0	
[[139 141 143]]     	 2002	 2559	    2	    2	    2	    2	
[[139 141 145]]     	 2003	 2560	    4	    2	    3	    4	
[[139 143 145]]     	 2001	 2560	    1	    1	    1	    1	
[[141 143 145]]     	 2001	 2560	    3	    2	    2	    2	
[[139 141 143 145]] 	 2002	 2560	    2	    2	    2	    2	
