combi               	x    	y    	z    	fixed	2D   	3D   
[[139 141]]         	 2563	 1999	    0	    3	    3	    3	
[[139 143]]         	 2561	 1997	   -2	    5	    4	    5	
[[139 145]]         	 2562	 1999	    0	    3	    2	    3	
[[141 143]]         	 2562	 1999	   -2	    3	    3	    4	
[[141 145]]         	 2562	 1999	    1	    2	    2	    2	
[[143 145]]         	 2560	 1998	   -1	    3	    2	    3	
[[139 141 143]]     	 2562	 1998	   -1	    3	    3	    4	
[[139 141 145]]     	 2562	 1999	    1	    3	    3	    3	
[[139 143 145]]     	 2561	 1998	   -1	    3	    2	    3	
[[141 143 145]]     	 2561	 1998	   -1	    2	    2	    3	
[[139 141 143 145]] 	 2562	 1998	   -1	    2	    2	    3	
