combi               	x    	y    	z    	fixed	2D   	3D   
[[139 141]]         	 2220	 2279	 1619	  782	  781	  782	
[[139 143]]         	 2233	 2304	 1625	  762	  803	  804	
[[139 145]]         	 2223	 2290	 1629	  792	  788	  788	
[[141 143]]         	 2227	 2278	 1624	  783	  787	  787	
[[141 145]]         	 2178	 2301	 1626	  762	  752	  752	
[[143 145]]         	 2230	 2287	 1632	  792	  793	  794	
[[139 141 143]]     	 2224	 2280	 1624	  783	  785	  786	
[[139 141 145]]     	 2219	 2286	 1625	  785	  783	  783	
[[139 143 145]]     	 2228	 2289	 1629	  791	  792	  792	
[[141 143 145]]     	 2226	 2284	 1628	  788	  788	  789	
[[139 141 143 145]] 	 2225	 2285	 1627	  787	  787	  788	
