combi               	x    	y    	z    	fixed	2D   	3D   
[[139 141]]         	 2654	 2549	 1618	   35	   32	   46	
[[139 143]]         	 2717	 2739	 1632	  159	  187	  188	
[[139 145]]         	 2658	 2580	 1616	   36	   38	   51	
[[141 143]]         	 2647	 2555	 1657	   38	   39	   39	
[[141 145]]         	 2642	 2569	 1632	   19	   47	   50	
[[143 145]]         	 2663	 2580	 1649	   35	   35	   35	
[[139 141 143]]     	 2653	 2562	 1639	   35	   34	   36	
[[139 141 145]]     	 2655	 2566	 1622	   33	   33	   43	
[[139 143 145]]     	 2663	 2586	 1635	   38	   40	   42	
[[141 143 145]]     	 2655	 2567	 1647	   34	   34	   34	
[[139 141 143 145]] 	 2656	 2570	 1636	   34	   34	   36	
