combi               	x    	y    	z    	fixed	2D   	3D   
[[139]]             	 3611	-1210	 1009	  384	 4248	 4296	
[[141]]             	20169	 -669	  417	  308	16891	16936	
[[143]]             	 4341	 4133	 1483	   53	 1275	 1286	
[[145]]             	19463	-6169	 5110	  248	18263	18588	
[[139 141]]         	 3616	 3098	 1643	   97	   96	   96	
[[139 143]]         	 3631	 3031	 1633	   64	   59	   62	
[[139 145]]         	 3620	 3080	 1595	   78	   82	   99	
[[141 143]]         	 3674	 3077	 1662	   44	   43	   45	
[[141 145]]         	 3747	 3033	 1639	   68	   57	   58	
[[143 145]]         	 3669	 3058	 1628	   26	   29	   36	
[[139 141 143]]     	 3645	 3075	 1646	   59	   59	   59	
[[139 141 145]]     	 3625	 3084	 1622	   81	   80	   85	
[[139 143 145]]     	 3645	 3060	 1619	   50	   50	   59	
[[141 143 145]]     	 3674	 3065	 1642	   31	   32	   33	
[[139 141 143 145]] 	 3648	 3070	 1632	   53	   53	   56	
