combi               	x    	y    	z    	fixed	2D   	3D   
[[139 141]]         	 2557	  998	    1	    3	    3	    3	
[[139 143]]         	 2558	  999	    1	    2	    2	    2	
[[139 145]]         	 2562	 1003	    3	    3	    4	    4	
[[141 143]]         	 2558	  998	    1	    3	    3	    3	
[[141 145]]         	 2556	 1002	    2	    4	    4	    4	
[[143 145]]         	 2561	 1003	   -0	    3	    3	    4	
[[139 141 143]]     	 2557	  998	    1	    3	    3	    3	
[[139 141 145]]     	 2558	 1000	    1	    2	    2	    2	
[[139 143 145]]     	 2560	 1002	    1	    2	    2	    2	
[[141 143 145]]     	 2558	 1000	    1	    2	    2	    2	
[[139 141 143 145]] 	 2558	 1000	    1	    2	    2	    2	
