combi               	x    	y    	z    	fixed	2D   	3D   
[[139 141]]         	 4095	 1626	 1646	  118	  118	  118	
[[139 143]]         	 4106	 1643	 1638	  165	  124	  124	
[[139 145]]         	 3982	 1477	 1564	  176	  189	  207	
[[141 143]]         	 4090	 1628	 1648	  112	  112	  112	
[[141 145]]         	 3860	 1752	 1610	  206	  151	  156	
[[143 145]]         	 3985	 1500	 1578	  171	  166	  181	
[[139 141 143]]     	 4093	 1627	 1644	  115	  116	  116	
[[139 141 145]]     	 4039	 1593	 1607	   85	   92	  101	
[[139 143 145]]     	 3983	 1491	 1594	  170	  175	  184	
[[141 143 145]]     	 4034	 1599	 1612	   75	   83	   92	
[[139 141 143 145]] 	 4045	 1588	 1616	   94	   99	  104	
