combi               	x    	y    	z    	fixed	2D   	3D   
[[139 141]]         	 3616	 3098	 1643	  110	  108	  109	
[[139 143]]         	 3631	 3031	 1633	   55	   53	   56	
[[139 145]]         	 3620	 3080	 1595	   88	   92	  107	
[[141 143]]         	 3674	 3077	 1662	   69	   67	   68	
[[141 145]]         	 3747	 3033	 1639	   80	   71	   72	
[[143 145]]         	 3669	 3058	 1628	   45	   49	   53	
[[139 141 143]]     	 3645	 3075	 1646	   74	   74	   74	
[[139 141 145]]     	 3625	 3084	 1622	   92	   92	   96	
[[139 143 145]]     	 3645	 3060	 1619	   59	   61	   68	
[[141 143 145]]     	 3674	 3065	 1642	   54	   55	   56	
[[139 141 143 145]] 	 3648	 3070	 1632	   67	   68	   70	
