combi               	x    	y    	z    	fixed	2D   	3D   
[[139 141]]         	 1989	 2196	 1618	   35	   33	   46	
[[139 143]]         	 1975	 2239	 1639	   58	   63	   64	
[[139 145]]         	 2003	 2227	 1630	   35	   36	   41	
[[141 143]]         	 1947	 2230	 1633	   82	   82	   84	
[[141 145]]         	 1918	 2242	 1617	  102	  113	  118	
[[143 145]]         	 1954	 2239	 1634	   78	   80	   82	
[[139 141 143]]     	 1966	 2216	 1632	   60	   59	   62	
[[139 141 145]]     	 1989	 2215	 1622	   38	   38	   47	
[[139 143 145]]     	 1974	 2234	 1634	   59	   61	   63	
[[141 143 145]]     	 1948	 2234	 1628	   82	   83	   86	
[[139 141 143 145]] 	 1968	 2225	 1629	   61	   61	   65	
