combi               	x    	y    	z    	fixed	2D   	3D   
[[139]]             	 2654	  883	 -516	    7	 1133	 1245	
[[141]]             	 4328	 1181	 -769	    6	 1698	 1864	
[[143]]             	 2473	 1365	  453	    8	  733	  861	
[[145]]             	 4238	 1789	  868	    1	 1414	 1659	
[[139 141]]         	 2846	 1998	   -0	    6	    6	    6	
[[139 143]]         	 2844	 1997	   -3	    5	    5	    6	
[[139 145]]         	 2845	 2000	    2	    4	    5	    5	
[[141 143]]         	 2843	 1997	   -1	    4	    4	    5	
[[141 145]]         	 2842	 2000	    3	    2	    2	    3	
[[143 145]]         	 2841	 1998	   -1	    3	    2	    3	
[[139 141 143]]     	 2844	 1998	   -2	    5	    5	    6	
[[139 141 145]]     	 2844	 2000	    2	    4	    4	    4	
[[139 143 145]]     	 2843	 1998	   -1	    4	    3	    4	
[[141 143 145]]     	 2842	 1998	    0	    3	    3	    3	
[[139 141 143 145]] 	 2843	 1998	   -0	    4	    4	    4	
