combi               	x    	y    	z    	fixed	2D   	3D   
[[139 141]]         	 1005	 2981	 1582	   57	   48	   83	
[[139 143]]         	  976	 2950	 1655	   25	   25	   25	
[[139 145]]         	  951	 2890	 1643	   61	   62	   63	
[[141 143]]         	  950	 3040	 1625	  111	  115	  118	
[[141 145]]         	  913	 2962	 1619	  111	   85	   91	
[[143 145]]         	  965	 2884	 1687	   54	   58	   68	
[[139 141 143]]     	  979	 2998	 1623	   62	   65	   71	
[[139 141 145]]     	  978	 2936	 1615	   15	   16	   38	
[[139 143 145]]     	  961	 2896	 1663	   51	   50	   51	
[[141 143 145]]     	  957	 2952	 1644	   40	   41	   42	
[[139 141 143 145]] 	  969	 2943	 1637	   26	   27	   30	
