combi               	x    	y    	z    	fixed	2D   	3D   
[[139 141]]         	 2220	 2279	 1619	   24	   25	   40	
[[139 143]]         	 2233	 2304	 1625	   55	   12	   28	
[[139 145]]         	 2223	 2290	 1629	   14	   18	   28	
[[141 143]]         	 2227	 2278	 1624	   26	   21	   33	
[[141 145]]         	 2178	 2301	 1626	   50	   63	   68	
[[143 145]]         	 2230	 2287	 1632	   15	   13	   22	
[[139 141 143]]     	 2224	 2280	 1624	   24	   22	   34	
[[139 141 145]]     	 2219	 2286	 1625	   22	   24	   34	
[[139 143 145]]     	 2228	 2289	 1629	   15	   14	   25	
[[141 143 145]]     	 2226	 2284	 1628	   19	   18	   29	
[[139 141 143 145]] 	 2225	 2285	 1627	   19	   19	   30	
