combi               	x    	y    	z    	fixed	2D   	3D   
[[139 141]]         	 1515	 2042	 1623	   84	   78	   83	
[[139 143]]         	 1500	 2003	 1673	   78	   41	   47	
[[139 145]]         	 1478	 1946	 1662	   41	   37	   39	
[[141 143]]         	 1499	 2074	 1624	  106	  111	  114	
[[141 145]]         	 1588	 1957	 1618	   76	   77	   83	
[[143 145]]         	 1490	 1949	 1675	   26	   26	   36	
[[139 141 143]]     	 1510	 2056	 1640	   90	   92	   93	
[[139 141 145]]     	 1516	 1987	 1634	   24	   24	   28	
[[139 143 145]]     	 1486	 1951	 1672	   28	   28	   35	
[[141 143 145]]     	 1508	 1995	 1640	   29	   31	   33	
[[139 141 143 145]] 	 1506	 1995	 1647	   31	   32	   32	
